Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDBELD,Belgium Central Bank Discount Rate,Central Bank Interest Rates,Belgium Franc (Euro from 01/01/1999),Belgium,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jun 1858 To Jan 1870<BR>Weekly From Jan 1870 To Jun 1914<BR>Monthly From Jul 1914 To Jun 1991<BR>Daily From Jun 1991 To Dec 1998<BR>,"Sources: Annuaire Statistique (1858-1878), The Economist (1879-1918), League of Nations (1919-45), Banque National, Bulletin (1946-)  Notes: Data are for the beginning of the month from 1879 through 1914.",
Date,Ticker,Open,High,Low,Close
12/31/1858,IDBELD,3,3,3,3
12/31/1859,IDBELD,3,4,3,3
12/31/1860,IDBELD,3,4,3,3
12/31/1861,IDBELD,5,5,3,4
12/31/1862,IDBELD,3,4,3,3
12/31/1863,IDBELD,3,6,3,6
12/31/1864,IDBELD,6,6,4,5
12/31/1865,IDBELD,4,6,3,5
12/31/1866,IDBELD,5,6,3,3
12/31/1867,IDBELD,3,3,2.5,2.5
12/31/1868,IDBELD,2.5,2.5,2.5,2.5
12/31/1869,IDBELD,2.5,2.5,2.5,2.5
12/31/1870,IDBELD,2.5,7,2.5,3.5
12/31/1871,IDBELD,3.5,5.5,2.5,2.5
12/31/1872,IDBELD,2.5,5.5,2.5,5
12/31/1873,IDBELD,5,7,3.5,6
12/31/1874,IDBELD,6,6,3.5,4.5
12/31/1875,IDBELD,4.5,4.5,3,3.5
12/31/1876,IDBELD,3.5,3.5,2.5,2.5
12/31/1877,IDBELD,2.5,3.5,2.5,2.5
12/31/1878,IDBELD,2.5,4.5,2.5,4
12/31/1879,IDBELD,4,4,2.5,3.5
12/31/1880,IDBELD,3.5,3.5,3,3.5
12/31/1881,IDBELD,3.5,5.5,3.5,5
12/31/1882,IDBELD,5,6,3.5,4
12/31/1883,IDBELD,4,4,3.125,3.5
12/31/1884,IDBELD,3.5,4,3,4
12/31/1885,IDBELD,4,4,3,4
12/31/1886,IDBELD,3.5,4,2.5,2.5
12/31/1887,IDBELD,2.5,3.5,2.5,3.5
12/31/1888,IDBELD,3.5,5,2.5,5
12/31/1889,IDBELD,5,5,3,4
12/31/1890,IDBELD,4,4,3,3
12/31/1891,IDBELD,3,3,3,3
12/31/1892,IDBELD,3,3,2.5,2.5
12/31/1893,IDBELD,2.5,3,2.5,3
12/31/1894,IDBELD,3,3,3,3
12/31/1895,IDBELD,3,3,2.5,2.5
12/31/1896,IDBELD,2.5,3,2.5,3
12/31/1897,IDBELD,3,3,3,3
12/31/1898,IDBELD,3,4,3,4
12/31/1899,IDBELD,4,5,3.5,5
12/31/1900,IDBELD,5,5,4,4
12/31/1901,IDBELD,4,4,3,3
12/31/1902,IDBELD,3,3,3,3
12/31/1903,IDBELD,3,4,3,3.5
12/31/1904,IDBELD,3,3,3,3
12/31/1905,IDBELD,3,4,3,4
12/31/1906,IDBELD,4,4.5,3,4
12/31/1907,IDBELD,4,6,4,6
12/31/1908,IDBELD,6,6,3,3
12/31/1909,IDBELD,3,3.5,3,3.5
12/31/1910,IDBELD,3.5,5,3.5,5
12/31/1911,IDBELD,5,5.5,3.5,4.5
12/31/1912,IDBELD,4.5,5,4,5
12/31/1913,IDBELD,5,6,5,5
12/31/1914,IDBELD,5,7,4,5
12/31/1915,IDBELD,5,5,5,5
12/31/1916,IDBELD,5,5,5,5
12/31/1917,IDBELD,5,5,5,5
12/31/1918,IDBELD,5,5,5,5
12/31/1919,IDBELD,5,5,4,4
12/31/1920,IDBELD,4,5.5,4,5.5
12/31/1921,IDBELD,5.5,5.5,5,5
12/31/1922,IDBELD,5,5,4.5,4.5
12/31/1923,IDBELD,5.5,5.5,5.5,5.5
12/31/1924,IDBELD,5.5,5.5,5.5,5.5
12/31/1925,IDBELD,5.5,7,5.5,7
12/31/1926,IDBELD,7,7.5,7,7
12/31/1927,IDBELD,6.5,6.5,4.5,4.5
12/31/1928,IDBELD,4.5,4.5,4,4
12/31/1929,IDBELD,4,5,4,4.5
12/31/1930,IDBELD,3.5,3.5,2.5,2.5
12/31/1931,IDBELD,2.5,2.5,2.5,2.5
12/31/1932,IDBELD,2.5,3.5,2.5,3.5
12/31/1933,IDBELD,3.5,3.5,3.5,3.5
12/31/1934,IDBELD,3.5,3.5,2.5,2.5
12/31/1935,IDBELD,2.5,2.5,2,2
12/31/1936,IDBELD,2,2,2,2
12/31/1937,IDBELD,2,2,2,2
12/31/1938,IDBELD,2,3,2,2.5
12/31/1939,IDBELD,2.5,4,2.5,2.5
12/31/1940,IDBELD,2.5,2.5,2,2
12/31/1941,IDBELD,2,2,2,2
12/31/1942,IDBELD,2,2,2,2
12/31/1943,IDBELD,2,2,2,2
12/31/1944,IDBELD,2,2,2,2
12/31/1945,IDBELD,1.5,1.5,1.5,1.5
12/31/1946,IDBELD,1.5,3,1.5,3
12/31/1947,IDBELD,3,3.5,3,3.5
12/31/1948,IDBELD,3.5,3.5,3.5,3.5
12/31/1949,IDBELD,3.5,3.5,3.25,3.25
12/31/1950,IDBELD,3.25,3.75,3.25,3.75
12/31/1951,IDBELD,3.75,3.75,3.25,3.25
12/31/1952,IDBELD,3.25,3.25,3,3
12/31/1953,IDBELD,3,3,2.75,2.75
12/31/1954,IDBELD,2.75,2.75,2.75,2.75
12/31/1955,IDBELD,2.75,3,2.75,3
12/31/1956,IDBELD,3,3.5,3,3.5
12/31/1957,IDBELD,3.5,4.5,3.5,4.5
12/31/1958,IDBELD,4.5,4.5,3.75,3.75
12/31/1959,IDBELD,3.25,4,3.25,4
12/31/1960,IDBELD,4,5,4,5
12/31/1961,IDBELD,5,5,4.5,4.5
12/31/1962,IDBELD,4.25,4.25,3.5,3.5
12/31/1963,IDBELD,3.5,4.25,3.5,4.25
12/31/1964,IDBELD,4.25,4.75,4.25,4.75
12/31/1965,IDBELD,4.75,4.75,4.75,4.75
12/31/1966,IDBELD,4.75,5.25,4.75,5.25
12/31/1967,IDBELD,5.25,5.25,4,4
12/31/1968,IDBELD,4,4.5,3.75,4.5
12/31/1969,IDBELD,4.5,7.5,4.5,7.5
12/31/1970,IDBELD,7.5,7.5,6.5,6.5
12/31/1971,IDBELD,6.5,6.5,5.5,5.5
12/31/1972,IDBELD,5,5,4,5
12/31/1973,IDBELD,5,7.75,5,7.75
12/31/1974,IDBELD,7.75,8.75,7.75,8.75
12/31/1975,IDBELD,8.25,8.25,6,6
12/31/1976,IDBELD,6,9,6,9
12/31/1977,IDBELD,8,8,6,7
12/31/1978,IDBELD,7.5,7.5,5.5,6
12/31/1979,IDBELD,6,10.5,6,10.5
12/31/1980,IDBELD,10.5,14,10.5,12
12/31/1981,IDBELD,12,16,12,15
12/31/1982,IDBELD,14,14,11.5,11.5
12/31/1983,IDBELD,11.5,11.5,9,10
12/31/1984,IDBELD,10,11,10,11
12/31/1985,IDBELD,11,11,8.75,9.75
12/31/1986,IDBELD,9.75,9.75,8,8
12/31/1987,IDBELD,8.5,8.5,7,7
12/31/1988,IDBELD,7,7.75,6.5,7.75
12/31/1989,IDBELD,8.25,10.25,8.25,10.25
12/31/1990,IDBELD,10.25,10.5,10.2,10.2
12/31/1991,IDBELD,10.5,10.5,7.5,8.5
12/31/1992,IDBELD,8.5,8.5,7.75,7.75
12/31/1993,IDBELD,7.75,7.75,5.25,5.25
12/31/1994,IDBELD,5.25,5.25,4.5,4.5
12/31/1995,IDBELD,4.5,4.5,3,3
12/31/1996,IDBELD,3,3,2.5,2.5
12/31/1997,IDBELD,2.5,2.75,2.5,2.75
12/31/1998,IDBELD,2.75,2.75,2.75,2.75
